nameOfPlace,Poverty Rate
Ridgecrest city,10.6
Ridgecrest Heights CDP,12.8
Rivergrove CDP,0.0
Rosamond CDP,14.7
Rosedale CDP,5.1
Shafter city,22.7
Smith Corner CDP,16.5
South Taft CDP,37.3
Squirrel Mountain Valley CDP,7.0
Stallion Springs CDP,5.4
Stebbins CDP,4.4
Taft city,21.8
Taft Heights CDP,16.9
Tarina CDP,-
Tehachapi city,12.6
Tupman CDP,26.7
Valley Acres CDP,17.5
Wasco city,20.5
Weedpatch CDP,48.0
Weldon CDP,35.7
Wofford Heights CDP,24.7
Woody CDP,3.1
Kings County,16.2
Armona CDP,14.0
Avenal city,20.2
Corcoran city,27.6
Grangeville CDP,0.0
Hanford city,14.5
Hardwick CDP,23.1
Home Garden CDP,13.1
Kettleman City CDP,28.7
Lemoore city,15.0
Lemoore Station CDP,10.2
Stratford CDP,22.0
Lake County,16.6
Clearlake city,24.7
Clearlake Oaks CDP,20.9
Clearlake Riviera CDP,3.1
Cobb CDP,3.5
Hidden Valley Lake CDP,6.9
Kelseyville CDP,20.5
Lakeport city,11.1
Lower Lake CDP,46.5
Lucerne CDP,16.6
Middletown CDP,4.7
Nice CDP,12.9
North Lakeport CDP,18.3
Soda Bay CDP,6.9
Spring Valley CDP (Lake County),17.3
Upper Lake CDP,9.0
Lassen County,15.2
Bieber CDP,2.6
Clear Creek CDP,7.8
Doyle CDP,26.7
Herlong CDP,17.4
Janesville CDP,7.6
Johnstonville CDP,2.8
Litchfield CDP,11.9
Little Valley CDP,30.0
Madeline CDP,0.0
Milford CDP,-
Nubieber CDP,83.3
Patton Village CDP,47.6
Spaulding CDP,50.6
Stones Landing CDP,0.0
Susanville city,17.5
Westwood CDP,34.3
Los Angeles County,13.7
Acton CDP,10.2
Agoura Hills city,5.0
Agua Dulce CDP,10.6
Alhambra city,12.5
Alondra Park CDP,7.2
Altadena CDP,6.8
Arcadia city,8.9
Artesia city,7.3
Avalon city,8.6
Avocado Heights CDP,8.3
Azusa city,13.2
Baldwin Park city,13.8
Bell city,23.4
Bellflower city,14.2
Bell Gardens city,23.6
Beverly Hills city,10.2
Bradbury city,5.6
Burbank city,10.7
Calabasas city,9.0
Carson city,9.2
Castaic CDP,3.7
Cerritos city,5.0
Charter Oak CDP,13.1
Citrus CDP,10.0
Claremont city,5.9
Commerce city,13.5
Compton city,17.7
Covina city,7.7
Cudahy city,26.7
Culver City city,5.9
Del Aire CDP,7.3
Desert View Highlands CDP,3.8
Diamond Bar city,8.6
Downey city,9.5
Duarte city,7.9
East Los Angeles CDP,17.2
East Pasadena CDP,6.6
East Rancho Dominguez CDP,18.5
East San Gabriel CDP,11.1
East Whittier CDP,6.2
Elizabeth Lake CDP,3.7
El Monte city,16.9
El Segundo city,4.7
Florence-Graham CDP,21.7
Gardena city,11.1
Glendale city,13.4
Glendora city,7.2
Green Valley CDP (Los Angeles County),14.4
Hacienda Heights CDP,10.6
Hasley Canyon CDP,9.3
Hawaiian Gardens city,14.4
Hawthorne city,15.6
Hermosa Beach city,5.8
Hidden Hills city,9.6
Huntington Park city,17.9
Industry city,12.7
Inglewood city,15.4
Irwindale city,6.7
La Cañada Flintridge city,3.3
La Crescenta-Montrose CDP,6.1
Ladera Heights CDP,7.2
La Habra Heights city,4.1
Lake Hughes CDP,4.4
Lake Los Angeles CDP,14.0
Lakewood city,6.0
La Mirada city,6.1
Lancaster city,17.6
La Puente city,9.6
La Verne city,8.5
Lawndale city,10.5
Lennox CDP,15.9
Leona Valley CDP,5.6
Littlerock CDP,3.6
Lomita city,12.1
Long Beach city,15.1
Los Angeles city,16.6
Lynwood city,16.1
Malibu city,8.5
Manhattan Beach city,3.2
Marina del Rey CDP,4.0
Mayflower Village CDP,8.5
Maywood city,20.3
Monrovia city,10.1
Montebello city,13.0
Monterey Park city,12.0
North El Monte CDP,9.6
Norwalk city,9.0
Palmdale city,14.1
Palos Verdes Estates city,3.8
Paramount city,13.4
Pasadena city,13.4
Pepperdine University CDP,0.0
Pico Rivera city,9.6
Pomona city,14.8
Quartz Hill CDP,10.4
Rancho Palos Verdes city,4.0
Redondo Beach city,5.3
Rolling Hills city,6.2
Rolling Hills Estates city,2.4
Rose Hills CDP,3.8
Rosemead city,12.6
Rowland Heights CDP,9.9
San Dimas city,9.3
San Fernando city,11.1
San Gabriel city,12.9
San Marino city,9.0
San Pasqual CDP,4.3
Santa Clarita city,8.0
Santa Fe Springs city,10.3
Santa Monica city,11.6
Sierra Madre city,6.1
Signal Hill city,9.5
South El Monte city,21.2
South Gate city,13.7
South Monrovia Island CDP,8.5
South Pasadena city,4.8
South San Gabriel CDP,4.9
South San Jose Hills CDP,14.6
South Whittier CDP,7.7
Stevenson Ranch CDP,5.0
Sun Village CDP,19.8
Temple City city,10.1
Topanga CDP,6.4
Torrance city,6.7
Valinda CDP,9.6
Val Verde CDP,4.5
Vernon city,0.3
View Park-Windsor Hills CDP,9.3
Vincent CDP,6.1
Walnut city,7.8
Walnut Park CDP,15.7
West Athens CDP,13.8
West Carson CDP,9.0
West Covina city,9.3
West Hollywood city,12.7
Westlake Village city,5.0
Westmont CDP,22.8
West Puente Valley CDP,12.2
West Rancho Dominguez CDP,13.2
West Whittier-Los Nietos CDP,12.2
Whittier city,8.8
Willowbrook CDP,19.9
Madera County,20.1
Ahwahnee CDP,8.1
Bass Lake CDP,20.4
Bonadelle Ranchos CDP,6.5
Chowchilla city,16.7
Coarsegold CDP,8.2
Fairmead CDP,30.1
La Vina CDP,57.1
Madera city,27.7
Madera Acres CDP,15.0
Madera Ranchos CDP,14.9
Nipinnawasee CDP,0.9
North Fork CDP,15.7
Oakhurst CDP,16.2
Parksdale CDP,29.9
Parkwood CDP,24.2
Rolling Hills CDP,8.5
Yosemite Lakes CDP,2.4
Marin County,7.0
Alto CDP,0.0
Belvedere city,5.9
Black Point-Green Point CDP,1.5
Bolinas CDP,11.4
Corte Madera town,3.7
Dillon Beach CDP,0.0
Fairfax town,9.9
Inverness CDP,11.6
Kentfield CDP,4.6
Lagunitas-Forest Knolls CDP,14.1
Larkspur city,6.8
Lucas Valley-Marinwood CDP,3.8
Marin City CDP,9.2
Mill Valley city,4.6
Muir Beach CDP,11.3
Nicasio CDP,0.0
Novato city,8.8
Point Reyes Station CDP,12.6
Ross town,3.9
San Anselmo town,4.3
San Geronimo CDP,0.0
San Rafael city,8.9
Santa Venetia CDP,5.3
Sausalito city,7.7
Sleepy Hollow CDP,2.2
Stinson Beach CDP,4.6
Strawberry CDP (Marin County),10.7
Tamalpais-Homestead Valley CDP,4.3
Tiburon town,1.4
Tomales CDP,51.1
Woodacre CDP,7.8
Mariposa County,16.0
Bear Valley CDP (Mariposa County),0.0
Bootjack CDP,3.3
Buck Meadows CDP,-
Catheys Valley CDP,17.0
Coulterville CDP,36.0
El Portal CDP,0.0
Fish Camp CDP,-
Foresta CDP,25.3
Greeley Hill CDP,25.1
Hornitos CDP,0.0
Lake Don Pedro CDP,1.6
Mariposa CDP,24.3
Midpines CDP,0.0
Mt. Bullion CDP,0.0
Wawona CDP,0.0
Yosemite Valley CDP,22.5
Yosemite West CDP,3.4
Mendocino County,16.2
Albion CDP,43.5
Anchor Bay CDP,15.7
Boonville CDP,5.9
Brooktrails CDP,4.7
Calpella CDP,0.0
Caspar CDP,4.7
Cleone CDP,4.0
Comptche CDP,37.5
Covelo CDP,37.0
Fort Bragg city,22.6
Hopland CDP,22.3
Laytonville CDP,9.2
Leggett CDP,52.2
Little River CDP,39.9
Manchester CDP,0.0
Mendocino CDP,0.0
Philo CDP,20.0
Point Arena city,19.1
Potter Valley CDP,5.8
Redwood Valley CDP,7.3
Talmage CDP,41.8
Ukiah city,16.7
Willits city,16.8
Merced County,18.5
Atwater city,17.5
Ballico CDP,15.3
Bear Creek CDP,0.0
Cressey CDP,8.6
Delhi CDP,14.2
Dos Palos city,11.4
Dos Palos Y CDP,31.4
El Nido CDP,18.1
Franklin CDP (Merced County),20.7
Gustine city,4.1
Hilmar-Irwin CDP,21.3
Le Grand CDP,11.8
Livingston city,16.6
Los Banos city,15.0
McSwain CDP,12.1
Merced city,25.2
Planada CDP,30.1
Santa Nella CDP,5.6
Snelling CDP,9.1
South Dos Palos CDP,27.8
Stevinson CDP,0.0
Tuttle CDP,0.0
University of California-Merced CDP,-
Volta CDP,15.8
Winton CDP,16.5
Modoc County,16.9
Adin CDP,4.1
Alturas city,19.4
California Pines CDP,3.3
Canby CDP,76.5
Cedarville CDP,9.1
Daphnedale Park CDP,28.6
Eagleville CDP,0.0
Fort Bidwell CDP,29.6
Lake City CDP,0.0
Likely CDP,-
Lookout CDP,0.0
Newell CDP,28.5
New Pine Creek CDP,34.2
Mono County,11.3
Aspen Springs CDP,0.0
Benton CDP,24.2
Bridgeport CDP,9.2
Chalfant CDP,20.8
Coleville CDP,3.1
Crowley Lake CDP,33.0
June Lake CDP,9.9
Lee Vining CDP,0.0
McGee Creek CDP,-
Mammoth Lakes town,8.8
Mono City CDP,0.0
Paradise CDP,3.3
